id,title,description,publisher,trove_url,download_text,issue_count,start_date,end_date,start_year,end_year,extent,place,issn,catalogue_url
nla.obj-3098786828,Advarp : news and comment,,The Council,https://nla.gov.au/nla.obj-3098786828,,0,1969-01-01,,,,v. ; 28 cm.,,,https://nla.gov.au/nla.cat-vn262535
nla.obj-245383993,Albert's dance folio [music].,Issues no. 5-17,J. Albert & Son,https://nla.gov.au/nla.obj-245383993,https://trove-journals.s3.ap-southeast-2.amazonaws.com/albert-s-dance-folio-music-nla.obj-245383993.zip,13,1928-01-01,1945-01-01,1932,1945,nos. of music ; 31 cm.,,,https://nla.gov.au/nla.cat-vn1176702
nla.obj-245395780,Albert's dance programme folio [music].,Issues no. 1-4,J. Albert & Son,https://nla.gov.au/nla.obj-245395780,https://trove-journals.s3.ap-southeast-2.amazonaws.com/albert-s-dance-programme-folio-music-nla.obj-245395780.zip,4,1928-01-01,1931-01-01,1928,1931,nos. of music ; 31 cm.,,,https://nla.gov.au/nla.cat-vn2004824
nla.obj-248482127,Albert's old time ... dance album,,J. Albert & Son,https://nla.gov.au/nla.obj-248482127,https://trove-journals.s3.ap-southeast-2.amazonaws.com/albert-s-old-time-dance-album-nla.obj-248482127.zip,2,,,,,,,,
nla.obj-28117694,All abaht it,,10th Australian Field Ambulance],https://nla.gov.au/nla.obj-28117694,https://trove-journals.s3.ap-southeast-2.amazonaws.com/all-abaht-it-nla.obj-28117694.zip,2,1916-01-01,1919-02-01,1916,1919,v : ill. ; 26 cm.,Europe Australia,,https://nla.gov.au/nla.cat-vn2107226
nla.obj-243278162,Allan's Melbourne musical magazine [music].,,Allan & Co.,https://nla.gov.au/nla.obj-243278162,https://trove-journals.s3.ap-southeast-2.amazonaws.com/allan-s-melbourne-musical-magazine-music-nla.obj-243278162.zip,3,1897-01-01,,,,nos. ; 31 cm.,,,https://nla.gov.au/nla.cat-vn1400020
nla.obj-244614996,Allan's dance album [music].,,Allan & Co.,https://nla.gov.au/nla.obj-244614996,https://trove-journals.s3.ap-southeast-2.amazonaws.com/allan-s-dance-album-music-nla.obj-244614996.zip,1,1904-01-01,,,,nos. ; 26-31 cm.,,,https://nla.gov.au/nla.cat-vn2922541
nla.obj-241863938,Allan's melodious voluntaries [music]: for American organ.,,Allan & Co.,https://nla.gov.au/nla.obj-241863938,https://trove-journals.s3.ap-southeast-2.amazonaws.com/allan-s-melodious-voluntaries-music-for-american-o-nla.obj-241863938.zip,1,0019-01-01,,,,v. ; 31 cm.,,,https://nla.gov.au/nla.cat-vn1400028
nla.obj-2825781237,Allerhand Lustiges aus dem Tokio Gesang-Verein,,Lithographing Comp.,https://nla.gov.au/nla.obj-2825781237,https://trove-journals.s3.ap-southeast-2.amazonaws.com/allerhand-lustiges-aus-dem-tokio-gesang-verein-nla.obj-2825781237.zip,3,1881-01-01,1881-05-05,1881,1881,"volumes : illustrations, lithographs ; 31 cm",Japan,,https://nla.gov.au/nla.cat-vn6156754
nla.obj-2999743546,Almanac for the diocese of Maitland.,,,https://nla.gov.au/nla.obj-2999743546,https://trove-journals.s3.ap-southeast-2.amazonaws.com/almanac-for-the-diocese-of-maitland-nla.obj-2999743546.zip,1,1901-01-01,1930-01-01,1930,1930,v. : ill. ; 19cm.,,,https://nla.gov.au/nla.cat-vn612008
